ax,ay,az,gx,gy,gz,target,target_name
-0.09,1.36,0.21,465.94,-4.82,-3.54,0.0,clockwise_wrist_turn
-0.06,1.41,0.23,395.94,-4.58,-2.01,0.0,clockwise_wrist_turn
-0.05,1.32,0.25,335.69,-4.21,1.16,0.0,clockwise_wrist_turn
-0.04,1.17,0.27,292.66,-4.27,4.33,0.0,clockwise_wrist_turn
-0.03,1.02,0.24,268.13,-3.23,6.9,0.0,clockwise_wrist_turn
-0.02,0.98,0.18,254.52,-3.66,8.3,0.0,clockwise_wrist_turn
-0.02,1.03,0.16,239.99,-2.69,9.28,0.0,clockwise_wrist_turn
-0.04,1.06,0.1,221.92,-1.77,10.01,0.0,clockwise_wrist_turn
-0.05,1.16,0.05,198.85,-1.83,10.13,0.0,clockwise_wrist_turn
-0.05,1.27,0.03,163.51,-2.32,9.28,0.0,clockwise_wrist_turn
-0.05,1.28,0.03,125.73,-3.54,9.22,0.0,clockwise_wrist_turn
-0.06,1.19,0.01,94.79,-3.78,8.12,0.0,clockwise_wrist_turn
-0.07,1.1,-0.01,77.03,-4.33,6.96,0.0,clockwise_wrist_turn
-0.06,1.05,-0.02,66.59,-2.99,5.49,0.0,clockwise_wrist_turn
-0.06,1.01,-0.04,62.99,-1.95,4.27,0.0,clockwise_wrist_turn
-0.07,1.02,-0.06,61.22,-1.28,1.59,0.0,clockwise_wrist_turn
-0.06,1.08,-0.07,55.18,-0.49,0.31,0.0,clockwise_wrist_turn
-0.06,1.14,-0.07,43.76,-0.43,-0.31,0.0,clockwise_wrist_turn
-0.06,1.18,-0.07,26.98,-1.16,-0.49,0.0,clockwise_wrist_turn
-0.07,1.18,-0.07,8.79,-2.32,-0.79,0.0,clockwise_wrist_turn
-0.07,1.15,-0.06,-7.51,-3.3,-1.34,0.0,clockwise_wrist_turn
-0.07,1.14,-0.07,-21.06,-4.09,-1.34,0.0,clockwise_wrist_turn
-0.08,1.15,-0.08,-34.97,-4.7,-1.22,0.0,clockwise_wrist_turn
-0.08,1.17,-0.08,-50.05,-5.0,-0.55,0.0,clockwise_wrist_turn
-0.08,1.18,-0.09,-65.12,-5.31,0.12,0.0,clockwise_wrist_turn
-0.08,1.21,-0.09,-81.85,-5.37,1.04,0.0,clockwise_wrist_turn
-0.08,1.26,-0.09,-101.32,-5.25,2.32,0.0,clockwise_wrist_turn
-0.08,1.31,-0.09,-124.88,-4.88,3.85,0.0,clockwise_wrist_turn
-0.08,1.35,-0.07,-153.38,-4.27,5.74,0.0,clockwise_wrist_turn
-0.08,1.36,-0.03,-184.94,-3.91,7.63,0.0,clockwise_wrist_turn
-0.06,1.35,-0.01,-219.42,-4.15,8.67,0.0,clockwise_wrist_turn
-0.05,1.33,0.01,-256.9,-5.31,9.16,0.0,clockwise_wrist_turn
-0.04,1.3,-0.0,-298.22,-6.9,7.93,0.0,clockwise_wrist_turn
-0.04,1.3,-0.02,-345.76,-9.28,6.47,0.0,clockwise_wrist_turn
-0.04,1.31,-0.02,-403.63,-10.93,4.7,0.0,clockwise_wrist_turn
-0.04,1.27,-0.01,-469.42,-12.27,4.03,0.0,clockwise_wrist_turn
-0.06,1.15,0.01,-536.38,-14.28,1.65,0.0,clockwise_wrist_turn
-0.07,0.99,0.05,-592.22,-14.71,-5.07,0.0,clockwise_wrist_turn
-0.07,0.83,0.04,-633.18,-23.13,-1.22,0.0,clockwise_wrist_turn
-0.06,0.67,0.05,-664.18,-11.96,8.79,0.0,clockwise_wrist_turn
-0.04,0.41,0.16,-674.68,-8.61,9.83,0.0,clockwise_wrist_turn
-0.03,0.11,0.31,-664.18,-5.19,6.35,0.0,clockwise_wrist_turn
-0.02,-0.11,0.46,-635.99,-4.09,11.96,0.0,clockwise_wrist_turn
0.01,-0.26,0.58,-593.02,-1.46,13.0,0.0,clockwise_wrist_turn
0.03,-0.43,0.71,-534.79,0.67,10.74,0.0,clockwise_wrist_turn
0.03,-0.6,0.85,-461.61,1.89,11.05,0.0,clockwise_wrist_turn
0.02,-0.73,0.96,-376.83,2.14,10.62,0.0,clockwise_wrist_turn
0.02,-0.79,1.03,-290.22,1.28,8.85,0.0,clockwise_wrist_turn
-0.0,-0.77,1.08,-210.75,-1.04,8.67,0.0,clockwise_wrist_turn
-0.02,-0.65,1.07,-147.83,-3.36,8.54,0.0,clockwise_wrist_turn
-0.04,-0.5,1.04,-105.71,-4.09,7.2,0.0,clockwise_wrist_turn
-0.07,-0.39,1.01,-82.34,-4.39,9.4,0.0,clockwise_wrist_turn
-0.09,-0.33,0.99,-71.84,-4.76,11.96,0.0,clockwise_wrist_turn
-0.09,-0.33,0.97,-68.05,-5.37,13.92,0.0,clockwise_wrist_turn
-0.07,-0.37,0.96,-63.54,-5.92,15.38,0.0,clockwise_wrist_turn
-0.06,-0.41,0.96,-56.52,-5.8,15.81,0.0,clockwise_wrist_turn
-0.05,-0.43,0.94,-48.52,-5.31,14.77,0.0,clockwise_wrist_turn
-0.04,-0.43,0.92,-40.65,-4.88,13.49,0.0,clockwise_wrist_turn
-0.04,-0.44,0.92,-32.17,-3.78,11.23,0.0,clockwise_wrist_turn
-0.05,-0.43,0.92,-23.93,-3.48,10.8,0.0,clockwise_wrist_turn
-0.04,-0.42,0.93,-18.13,-2.56,9.46,0.0,clockwise_wrist_turn
-0.02,-0.39,0.95,-14.34,-2.44,8.18,0.0,clockwise_wrist_turn
-0.02,-0.38,0.96,-12.27,-2.38,6.96,0.0,clockwise_wrist_turn
-0.02,-0.37,0.96,-12.7,-2.38,5.43,0.0,clockwise_wrist_turn
-0.02,-0.37,0.95,-14.16,-2.38,4.33,0.0,clockwise_wrist_turn
-0.02,-0.39,0.94,-14.34,-2.26,3.48,0.0,clockwise_wrist_turn
-0.02,-0.41,0.94,-12.94,-1.83,2.56,0.0,clockwise_wrist_turn
-0.02,-0.42,0.94,-10.74,-1.4,1.59,0.0,clockwise_wrist_turn
-0.02,-0.43,0.93,-7.45,-1.04,0.85,0.0,clockwise_wrist_turn
-0.03,-0.43,0.94,-2.56,-0.43,0.49,0.0,clockwise_wrist_turn
-0.03,-0.43,0.94,2.62,0.12,0.24,0.0,clockwise_wrist_turn
-0.03,-0.41,0.94,6.71,0.85,0.12,0.0,clockwise_wrist_turn
-0.04,-0.39,0.94,9.46,1.34,0.24,0.0,clockwise_wrist_turn
-0.04,-0.39,0.94,11.66,1.89,0.37,0.0,clockwise_wrist_turn
-0.04,-0.38,0.95,12.45,2.26,0.49,0.0,clockwise_wrist_turn
-0.05,-0.36,0.95,11.72,2.38,0.67,0.0,clockwise_wrist_turn
-0.05,-0.36,0.95,10.5,2.69,0.67,0.0,clockwise_wrist_turn
-0.05,-0.37,0.95,10.62,2.75,0.49,0.0,clockwise_wrist_turn
-0.05,-0.38,0.96,12.45,2.87,-0.12,0.0,clockwise_wrist_turn
-0.05,-0.4,0.96,15.99,3.11,-0.73,0.0,clockwise_wrist_turn
-0.04,-0.41,0.96,20.69,3.36,-1.28,0.0,clockwise_wrist_turn
-0.04,-0.4,0.96,24.9,3.54,-2.32,0.0,clockwise_wrist_turn
-0.05,-0.37,0.96,26.37,3.17,-3.05,0.0,clockwise_wrist_turn
-0.05,-0.32,0.95,23.01,2.93,-3.54,0.0,clockwise_wrist_turn
-0.05,-0.29,0.94,17.46,2.75,-3.91,0.0,clockwise_wrist_turn
-0.06,-0.3,0.95,12.76,2.69,-4.21,0.0,clockwise_wrist_turn
-0.06,-0.32,0.96,10.13,2.44,-4.58,0.0,clockwise_wrist_turn
-0.06,-0.34,0.96,10.07,2.38,-4.88,0.0,clockwise_wrist_turn
-0.05,-0.37,0.96,13.31,2.5,-5.13,0.0,clockwise_wrist_turn
-0.05,-0.39,0.96,19.41,2.93,-5.43,0.0,clockwise_wrist_turn
-0.05,-0.38,0.96,25.82,3.11,-5.68,0.0,clockwise_wrist_turn
-0.05,-0.35,0.95,31.19,3.42,-6.04,0.0,clockwise_wrist_turn
-0.05,-0.34,0.95,35.95,3.97,-6.29,0.0,clockwise_wrist_turn
-0.05,-0.33,0.95,39.98,4.39,-6.53,0.0,clockwise_wrist_turn
