ax,ay,az,gx,gy,gz,target,target_name
0.15,-0.66,0.88,32.17,-21.36,94.73,11.0,palm_down_right_swipe
0.15,-0.62,0.87,28.56,-18.01,86.0,11.0,palm_down_right_swipe
0.15,-0.61,0.87,24.96,-15.38,76.84,11.0,palm_down_right_swipe
0.15,-0.61,0.88,23.86,-12.21,68.48,11.0,palm_down_right_swipe
0.14,-0.6,0.9,24.6,-9.34,60.06,11.0,palm_down_right_swipe
0.13,-0.55,0.9,25.7,-7.26,51.76,11.0,palm_down_right_swipe
0.11,-0.48,0.9,24.11,-4.33,45.78,11.0,palm_down_right_swipe
0.1,-0.43,0.91,21.36,-2.08,38.76,11.0,palm_down_right_swipe
0.1,-0.36,0.92,18.37,0.0,32.35,11.0,palm_down_right_swipe
0.09,-0.31,0.93,12.76,1.95,28.87,11.0,palm_down_right_swipe
0.08,-0.29,0.95,7.93,3.3,23.8,11.0,palm_down_right_swipe
0.07,-0.28,0.98,4.33,4.33,17.88,11.0,palm_down_right_swipe
0.04,-0.26,1.0,2.69,4.7,13.73,11.0,palm_down_right_swipe
0.03,-0.25,1.02,3.11,4.64,11.41,11.0,palm_down_right_swipe
0.02,-0.26,1.04,4.39,4.15,9.46,11.0,palm_down_right_swipe
0.02,-0.24,1.05,7.39,2.2,6.47,11.0,palm_down_right_swipe
0.01,-0.19,1.05,7.87,1.83,8.24,11.0,palm_down_right_swipe
0.01,-0.16,1.05,8.48,0.61,7.39,11.0,palm_down_right_swipe
0.03,-0.12,1.04,6.77,2.14,7.69,11.0,palm_down_right_swipe
0.02,-0.1,1.04,2.32,2.99,10.07,11.0,palm_down_right_swipe
0.02,-0.14,1.05,0.79,2.01,7.32,11.0,palm_down_right_swipe
0.03,-0.15,1.06,0.61,1.46,5.62,11.0,palm_down_right_swipe
0.04,-0.15,1.06,-1.04,1.16,5.25,11.0,palm_down_right_swipe
0.04,-0.19,1.06,-2.08,0.49,3.85,11.0,palm_down_right_swipe
0.06,-0.21,1.06,-1.71,-0.98,1.71,11.0,palm_down_right_swipe
0.07,-0.19,1.05,-3.97,-0.37,2.26,11.0,palm_down_right_swipe
0.08,-0.2,1.04,-8.0,1.22,2.69,11.0,palm_down_right_swipe
0.08,-0.25,1.04,-10.62,1.59,-1.83,11.0,palm_down_right_swipe
0.07,-0.29,1.04,-11.96,0.73,-7.02,11.0,palm_down_right_swipe
0.07,-0.32,1.03,-13.61,-0.06,-11.17,11.0,palm_down_right_swipe
0.06,-0.38,1.03,-13.61,-1.4,-16.66,11.0,palm_down_right_swipe
0.06,-0.44,1.03,-11.84,-2.62,-23.19,11.0,palm_down_right_swipe
0.06,-0.48,1.02,-10.93,-3.11,-31.01,11.0,palm_down_right_swipe
0.06,-0.53,1.02,-11.17,-3.17,-39.79,11.0,palm_down_right_swipe
0.07,-0.61,1.01,-11.9,-3.91,-50.29,11.0,palm_down_right_swipe
0.07,-0.68,1.02,-11.96,-4.52,-62.62,11.0,palm_down_right_swipe
0.06,-0.75,1.01,-11.05,-5.25,-76.48,11.0,palm_down_right_swipe
0.03,-0.83,0.99,-10.8,-5.55,-94.67,11.0,palm_down_right_swipe
0.03,-0.92,0.97,-12.02,-5.0,-112.37,11.0,palm_down_right_swipe
0.03,-1.02,0.94,-11.54,-3.17,-131.35,11.0,palm_down_right_swipe
